index,TotalAssets,	CurrentAssets,		CashCashEquivalentsAndShortTermInvestments,			CashAndCashEquivalents,			OtherShortTermInvestments,		Receivables,			AccountsReceivable,	TotalNonCurrentAssets,		NetPPE,			GrossPPE,			AccumulatedDepreciation,		GoodwillAndOtherIntangibleAssets,			OtherIntangibleAssets,TotalLiabilitiesNetMinorityInterest,	CurrentLiabilities,		PayablesAndAccruedExpenses,			Payables,				AccountsPayable,			CurrentAccruedExpenses,		CurrentDeferredLiabilities,			CurrentDeferredRevenue,	TotalNonCurrentLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,	StockholdersEquity,		CapitalStock,			CommonStock,		RetainedEarnings,		GainsLossesNotAffectingRetainedEarnings,TotalCapitalization,CommonStockEquity,NetTangibleAssets,WorkingCapital,InvestedCapital,TangibleBookValue,ShareIssued,OrdinarySharesNumber,TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	ResearchAndDevelopment,OperatingIncome,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,DilutedNIAvailtoComStockholders,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,EBIT,ReconciledCostOfRevenue,NetIncomeFromContinuingOperationNetMinorityInterest,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,OperatingCashFlow,	CashFlowFromContinuingOperatingActivities,		DepreciationAmortizationDepletion,			DepreciationAndAmortization,				Depreciation,				AmortizationCashFlow,					AmortizationOfIntangibles,		ChangeInWorkingCapital,			ChangeInReceivables,			ChangeInPayablesAndAccruedExpense,			ChangeInOtherWorkingCapital,InvestingCashFlow,	CashFlowFromContinuingInvestingActivities,		NetPPEPurchaseAndSale,			PurchaseOfPPE,		NetInvestmentPurchaseAndSale,			PurchaseOfInvestment,			SaleOfInvestment,FinancingCashFlow,	CashFlowFromContinuingFinancingActivities,EndCashPosition,	ChangesInCash,	EffectOfExchangeRateChanges,	BeginningCashPosition,CapitalExpenditure,FreeCashFlow,Close
9/30/2020,299243000000.0,164369000000.0,132596000000.0,20129000000.0,112467000000.0,25513000000.0,24925000000.0,134874000000.0,93582000000.0,132233000000.0,-38651000000.0,22390000000.0,1520000000.0,86323000000.0,48200000000.0,25695000000.0,5490000000.0,4391000000.0,20205000000.0,2302000000.0,2302000000.0,38123000000.0,212920000000.0,212920000000.0,57307000000.0,57307000000.0,155567000000.0,46000000.0,226822000000.0,212920000000.0,190530000000.0,116169000000.0,226822000000.0,190530000000.0,677724000.0,677724000.0,46173000000.0,46017000000.0,21117000000.0,25056000000.0,13843000000.0,6856000000.0,11213000000.0,13359000000.0,2112000000.0,11247000000.0,11247000000.0,11247000000.0,11247000000.0,11247000000.0,11213000000.0,34960000000.0,11247000000.0,9621098000.0,13407000000.0,21117000000.0,11247000000.0,14954000000.0,0.16,305098000.0,17003000000.0,17003000000.0,3478000000.0,3478000000.0,3289000000.0,189000000.0,189000000.0,756000000.0,-3601000000.0,4379000000.0,211000000.0,-15197000000.0,-15197000000.0,-5406000000.0,-5406000000.0,-9372000000.0,-41374000000.0,32002000000.0,546000000.0,546000000.0,20129000000.0,2352000000.0,35000000.0,17742000000.0,-5406000000.0,11597000000.0,1469.599976
6/30/2020,278492000000.0,149069000000.0,121080000000.0,17742000000.0,103338000000.0,21595000000.0,21201000000.0,129423000000.0,90315000000.0,125859000000.0,-35544000000.0,22521000000.0,1697000000.0,71170000000.0,43658000000.0,23544000000.0,5039000000.0,4064000000.0,18505000000.0,2061000000.0,2061000000.0,27512000000.0,207322000000.0,207322000000.0,55937000000.0,55937000000.0,151681000000.0,-296000000.0,210285000000.0,207322000000.0,184801000000.0,105411000000.0,210285000000.0,184801000000.0,681215000.0,681215000.0,38297000000.0,37998000000.0,18553000000.0,19744000000.0,13361000000.0,6875000000.0,6383000000.0,8277000000.0,1318000000.0,6959000000.0,6959000000.0,6959000000.0,6959000000.0,7429000000.0,6383000000.0,31914000000.0,6959000000.0,5487250000.0,8290000000.0,18553000000.0,6959000000.0,9926000000.0,0.16,278250000.0,13993000000.0,13993000000.0,3386000000.0,3386000000.0,3178000000.0,208000000.0,208000000.0,2327000000.0,-80000000.0,1757000000.0,894000000.0,-8448000000.0,-8448000000.0,-5391000000.0,-5391000000.0,-3011000000.0,-27287000000.0,24276000000.0,-7498000000.0,-7498000000.0,17742000000.0,-1953000000.0,51000000.0,19644000000.0,-5391000000.0,8602000000.0,1413.609985
3/31/2020,273403000000.0,147018000000.0,117229000000.0,19644000000.0,97585000000.0,23735000000.0,21825000000.0,126385000000.0,87966000000.0,120903000000.0,-32937000000.0,22574000000.0,1840000000.0,69744000000.0,40189000000.0,21926000000.0,5012000000.0,4099000000.0,16914000000.0,1938000000.0,1938000000.0,29555000000.0,203659000000.0,203659000000.0,53688000000.0,53688000000.0,151068000000.0,-1097000000.0,207619000000.0,203659000000.0,181085000000.0,106829000000.0,207619000000.0,181085000000.0,683972000.0,683972000.0,41159000000.0,40975000000.0,18982000000.0,22177000000.0,14200000000.0,6820000000.0,7977000000.0,7757000000.0,921000000.0,6836000000.0,6836000000.0,6836000000.0,6836000000.0,6836000000.0,7977000000.0,33182000000.0,6836000000.0,7613923000.0,7778000000.0,18982000000.0,6836000000.0,11769000000.0,0.12,-105077000.0,11451000000.0,11451000000.0,3108000000.0,3108000000.0,2899000000.0,209000000.0,209000000.0,-2958000000.0,2602000000.0,-5237000000.0,-208000000.0,-1847000000.0,-1847000000.0,-6005000000.0,-6005000000.0,3936000000.0,-38135000000.0,42071000000.0,-8186000000.0,-8186000000.0,19644000000.0,1418000000.0,-272000000.0,18498000000.0,-6005000000.0,5446000000.0,1162.810059
12/31/2019,275909000000.0,152578000000.0,119675000000.0,18498000000.0,101177000000.0,27492000000.0,25326000000.0,123331000000.0,84587000000.0,115148000000.0,-30561000000.0,22603000000.0,1979000000.0,74467000000.0,45221000000.0,24214000000.0,5835000000.0,5561000000.0,18379000000.0,1908000000.0,1908000000.0,29246000000.0,201442000000.0,201442000000.0,50552000000.0,50552000000.0,152122000000.0,-1232000000.0,205400000000.0,201442000000.0,178839000000.0,107357000000.0,205400000000.0,178839000000.0,688335000.0,688335000.0,46075000000.0,63506000000.0,21020000000.0,25055000000.0,15789000000.0,7222000000.0,9266000000.0,10704000000.0,33000000.0,10671000000.0,10671000000.0,10671000000.0,10671000000.0,10671000000.0,9266000000.0,36809000000.0,10671000000.0,10233353419.0,10721000000.0,21020000000.0,10671000000.0,13695000000.0,0.0,1353419.28,14427000000.0,14427000000.0,3413000000.0,3413000000.0,3082000000.0,331000000.0,331000000.0,-1222000000.0,-4365000000.0,6129000000.0,-3152000000.0,-4703000000.0,-4703000000.0,-6052000000.0,-6052000000.0,3370000000.0,-19780000000.0,23150000000.0,-7326000000.0,-7326000000.0,18498000000.0,2398000000.0,68000000.0,16032000000.0,-6052000000.0,8375000000.0,1337.02002
9/30/2019,263044000000.0,148358000000.0,121177000000.0,16032000000.0,105145000000.0,21081000000.0,20889000000.0,114686000000.0,79593000000.0,107746000000.0,-28153000000.0,19816000000.0,1747000000.0,68075000000.0,39224000000.0,20955000000.0,4273000000.0,4142000000.0,16682000000.0,1679000000.0,1679000000.0,28851000000.0,194969000000.0,194969000000.0,49040000000.0,49040000000.0,147125000000.0,-1196000000.0,198925000000.0,194969000000.0,175153000000.0,109134000000.0,198925000000.0,175153000000.0,690906000.0,690906000.0,40499000000.0,33916000000.0,17568000000.0,22931000000.0,13754000000.0,6554000000.0,9177000000.0,8628000000.0,1560000000.0,7068000000.0,7068000000.0,7068000000.0,7068000000.0,7068000000.0,9177000000.0,31322000000.0,7068000000.0,8245722000.0,8651000000.0,17568000000.0,7068000000.0,13009000000.0,0.18,-260278000.0,15466000000.0,15466000000.0,2920000000.0,2920000000.0,2732000000.0,188000000.0,188000000.0,1685000000.0,-1000000.0,2171000000.0,126000000.0,-8945000000.0,-8945000000.0,-6732000000.0,-6732000000.0,-2466000000.0,-36648000000.0,34182000000.0,-6954000000.0,-6954000000.0,16032000000.0,-433000000.0,-122000000.0,16587000000.0,-6732000000.0,8734000000.0,1219.0
12/31/2018,232792000000.0,135676000000.0,109140000000.0,16701000000.0,92439000000.0,21193000000.0,20838000000.0,97116000000.0,59719000000.0,82507000000.0,-22788000000.0,20108000000.0,2220000000.0,55164000000.0,34620000000.0,18243000000.0,4447000000.0,4378000000.0,13796000000.0,1784000000.0,1784000000.0,20544000000.0,177628000000.0,177628000000.0,45049000000.0,45049000000.0,134885000000.0,-2306000000.0,181578000000.0,177628000000.0,157520000000.0,101056000000.0,181578000000.0,157520000000.0,695556000.0,695556000.0,39276000000.0,52541000000.0,17918000000.0,21358000000.0,13155000000.0,6034000000.0,8203000000.0,10072000000.0,1124000000.0,8948000000.0,8948000000.0,8948000000.0,8948000000.0,8948000000.0,8203000000.0,31073000000.0,8948000000.0,7820615965.0,10101000000.0,17918000000.0,8948000000.0,11412000000.0,0.11,141615965.1,12987000000.0,12987000000.0,2580000000.0,2580000000.0,2373000000.0,207000000.0,207000000.0,495000000.0,-2887000000.0,3610000000.0,-261000000.0,-6876000000.0,-6876000000.0,-7052000000.0,-7081000000.0,215000000.0,-13773000000.0,13988000000.0,-2746000000.0,-2746000000.0,16701000000.0,3365000000.0,-107000000.0,13443000000.0,-7081000000.0,5906000000.0,1035.609985
6/30/2017,178621000000.0,112386000000.0,94713000000.0,15711000000.0,79002000000.0,14877000000.0,14003000000.0,66235000000.0,37676000000.0,53341000000.0,-15665000000.0,19537000000.0,2933000000.0,30335000000.0,18685000000.0,11433000000.0,2621000000.0,2488000000.0,8812000000.0,1226000000.0,1226000000.0,11650000000.0,148286000000.0,148286000000.0,38509000000.0,38509000000.0,111505000000.0,-1728000000.0,152225000000.0,148286000000.0,128749000000.0,93701000000.0,152225000000.0,128749000000.0,692876000.0,692876000.0,26010000000.0,22672000000.0,10373000000.0,15637000000.0,8769000000.0,4172000000.0,6868000000.0,4377000000.0,853000000.0,3524000000.0,3524000000.0,3524000000.0,3524000000.0,3524000000.0,4132000000.0,19142000000.0,3524000000.0,5776390000.0,4398000000.0,10373000000.0,3524000000.0,8821000000.0,0.2,-545610000.0,7403000000.0,7403000000.0,1625000000.0,1625000000.0,1424000000.0,201000000.0,201000000.0,284000000.0,-836000000.0,3651000000.0,-2205000000.0,-7172000000.0,-7172000000.0,-2818000000.0,-2831000000.0,-4981000000.0,-19897000000.0,14916000000.0,-2740000000.0,-2740000000.0,15711000000.0,-2509000000.0,88000000.0,18132000000.0,-2831000000.0,4572000000.0,908.7299800000001
3/31/2017,172756000000.0,108794000000.0,92439000000.0,18132000000.0,74307000000.0,12969000000.0,12913000000.0,63962000000.0,35936000000.0,50321000000.0,-14385000000.0,19684000000.0,3137000000.0,27807000000.0,15256000000.0,11435000000.0,3109000000.0,2306000000.0,8326000000.0,1148000000.0,1148000000.0,12551000000.0,144949000000.0,144949000000.0,37698000000.0,37698000000.0,109420000000.0,-2169000000.0,148886000000.0,144949000000.0,125265000000.0,93538000000.0,148886000000.0,125265000000.0,692108000.0,692108000.0,24750000000.0,24506000000.0,9795000000.0,14955000000.0,8387000000.0,3942000000.0,6568000000.0,6819000000.0,1393000000.0,5426000000.0,5426000000.0,5426000000.0,5426000000.0,5426000000.0,6568000000.0,18182000000.0,5426000000.0,5481720000.0,6844000000.0,9795000000.0,5426000000.0,8417000000.0,0.2,-14280000.0,9548000000.0,9548000000.0,1503000000.0,1503000000.0,1287000000.0,216000000.0,216000000.0,-79000000.0,1267000000.0,-1839000000.0,621000000.0,-2851000000.0,-2851000000.0,-2467000000.0,-2508000000.0,-1033000000.0,-20473000000.0,19440000000.0,-1674000000.0,-1674000000.0,18132000000.0,5023000000.0,191000000.0,12918000000.0,-2508000000.0,7040000000.0,829.5599980000001
9/30/2016,159948000000.0,98546000000.0,83056000000.0,9406000000.0,73650000000.0,12395000000.0,11979000000.0,61402000000.0,32753000000.0,46094000000.0,-13341000000.0,19395000000.0,3367000000.0,25845000000.0,14323000000.0,9728000000.0,2346000000.0,2175000000.0,7382000000.0,923000000.0,923000000.0,11522000000.0,134103000000.0,134103000000.0,35337000000.0,35337000000.0,99798000000.0,-1032000000.0,138041000000.0,134103000000.0,114708000000.0,84223000000.0,138041000000.0,114708000000.0,689136000.0,689136000.0,22451000000.0,22254000000.0,8699000000.0,13752000000.0,7985000000.0,3596000000.0,5767000000.0,6045000000.0,984000000.0,5061000000.0,5061000000.0,5061000000.0,5061000000.0,5061000000.0,5767000000.0,16684000000.0,5061000000.0,5088621000.0,6074000000.0,8699000000.0,5061000000.0,7703000000.0,0.16,-5379000.0,9845000000.0,9845000000.0,1596000000.0,1596000000.0,1377000000.0,219000000.0,219000000.0,1637000000.0,-282000000.0,1454000000.0,512000000.0,-13045000000.0,-13045000000.0,-2357000000.0,-2583000000.0,-8371000000.0,-25411000000.0,17040000000.0,-1089000000.0,-1089000000.0,9406000000.0,-4289000000.0,68000000.0,13627000000.0,-2583000000.0,7262000000.0,777.289978
6/30/2016,154292000000.0,94238000000.0,78460000000.0,13627000000.0,64833000000.0,12762000000.0,11686000000.0,60054000000.0,31413000000.0,43904000000.0,-12491000000.0,19293000000.0,3452000000.0,26413000000.0,17341000000.0,10813000000.0,3966000000.0,1716000000.0,6847000000.0,900000000.0,900000000.0,9072000000.0,127879000000.0,127879000000.0,34293000000.0,34293000000.0,94737000000.0,-1151000000.0,129863000000.0,127879000000.0,108586000000.0,76897000000.0,131862000000.0,108586000000.0,686778000.0,686778000.0,21500000000.0,19143000000.0,8130000000.0,13370000000.0,7402000000.0,3363000000.0,5968000000.0,6119000000.0,1242000000.0,4877000000.0,4877000000.0,4877000000.0,4877000000.0,4877000000.0,5968000000.0,15532000000.0,4877000000.0,4990174000.0,6151000000.0,8130000000.0,4877000000.0,7783000000.0,0.2,-28826000.0,9120000000.0,9120000000.0,1490000000.0,1490000000.0,1271000000.0,219000000.0,219000000.0,1259000000.0,-835000000.0,724000000.0,1394000000.0,-7173000000.0,-7173000000.0,-2123000000.0,-2123000000.0,-4906000000.0,-25152000000.0,20246000000.0,-3440000000.0,-3440000000.0,13627000000.0,-1493000000.0,9000000.0,15111000000.0,-2123000000.0,6997000000.0,692.099976
3/31/2016,149747000000.0,90955000000.0,75264000000.0,15111000000.0,60153000000.0,12972000000.0,10818000000.0,58792000000.0,30162000000.0,41995000000.0,-11833000000.0,19523000000.0,3657000000.0,26178000000.0,17684000000.0,10912000000.0,4168000000.0,1667000000.0,6744000000.0,933000000.0,933000000.0,8494000000.0,123569000000.0,123569000000.0,33695000000.0,33695000000.0,91168000000.0,-1294000000.0,125556000000.0,123569000000.0,104046000000.0,73271000000.0,128554000000.0,104046000000.0,686792000.0,686792000.0,20257000000.0,18020000000.0,7648000000.0,12609000000.0,7267000000.0,3367000000.0,5342000000.0,5129000000.0,922000000.0,4207000000.0,4207000000.0,4207000000.0,4207000000.0,4207000000.0,5342000000.0,14915000000.0,4207000000.0,4589120000.0,5159000000.0,7648000000.0,4207000000.0,6996000000.0,0.18,-83880000.0,7658000000.0,7658000000.0,1371000000.0,1371000000.0,1155000000.0,216000000.0,216000000.0,-172000000.0,818000000.0,-1464000000.0,289000000.0,-6245000000.0,-6245000000.0,-2428000000.0,-2428000000.0,-3526000000.0,-21069000000.0,17543000000.0,-2911000000.0,-2911000000.0,15111000000.0,-1498000000.0,60000000.0,16549000000.0,-2428000000.0,5230000000.0,744.950012
12/31/2015,147461000000.0,90114000000.0,73066000000.0,16549000000.0,56517000000.0,13909000000.0,11556000000.0,57347000000.0,29016000000.0,40146000000.0,-11130000000.0,19716000000.0,3847000000.0,27130000000.0,19310000000.0,11758000000.0,4661000000.0,1931000000.0,7097000000.0,788000000.0,788000000.0,7820000000.0,120331000000.0,120331000000.0,32982000000.0,32982000000.0,89223000000.0,-1874000000.0,122326000000.0,120331000000.0,100615000000.0,70804000000.0,125326000000.0,100615000000.0,687348000.0,687348000.0,21329000000.0,19078000000.0,8188000000.0,13141000000.0,7761000000.0,3510000000.0,5380000000.0,5200000000.0,277000000.0,4923000000.0,4923000000.0,4923000000.0,4923000000.0,4923000000.0,5380000000.0,15949000000.0,4923000000.0,5361336346.0,5226000000.0,8188000000.0,4923000000.0,7093000000.0,0.05,-24663653.85,6415000000.0,6415000000.0,1404000000.0,1404000000.0,1153000000.0,251000000.0,251000000.0,-1898000000.0,-1758000000.0,1556000000.0,-1174000000.0,-5487000000.0,-5487000000.0,-2100000000.0,-2100000000.0,-2557000000.0,-18552000000.0,15995000000.0,-2365000000.0,-2365000000.0,16549000000.0,-1437000000.0,-82000000.0,18068000000.0,-2100000000.0,4315000000.0,758.880005
9/30/2015,144281000000.0,88103000000.0,72767000000.0,18068000000.0,54699000000.0,10436000000.0,9749000000.0,56178000000.0,28338000000.0,38908000000.0,-10570000000.0,19698000000.0,4023000000.0,28040000000.0,18457000000.0,11527000000.0,5030000000.0,1549000000.0,6497000000.0,705000000.0,705000000.0,9583000000.0,116241000000.0,116241000000.0,31864000000.0,31864000000.0,85969000000.0,-1592000000.0,118235000000.0,116241000000.0,96543000000.0,69646000000.0,121234000000.0,96543000000.0,687693000.0,687693000.0,18675000000.0,16781000000.0,7037000000.0,11638000000.0,6930000000.0,3230000000.0,4708000000.0,4891000000.0,912000000.0,3979000000.0,3979000000.0,3979000000.0,3979000000.0,3979000000.0,4708000000.0,13967000000.0,3979000000.0,4059586000.0,4917000000.0,7037000000.0,3979000000.0,6264000000.0,0.19,-18414000.0,6007000000.0,6007000000.0,1248000000.0,1248000000.0,1030000000.0,218000000.0,218000000.0,-138000000.0,-267000000.0,865000000.0,-878000000.0,-5817000000.0,-5817000000.0,-2373000000.0,-2373000000.0,-3914000000.0,-23413000000.0,19499000000.0,-471000000.0,-471000000.0,18068000000.0,-281000000.0,-104000000.0,18453000000.0,-2373000000.0,3634000000.0,608.419983
